key	value	date
Radical Islamic Extremism	647	06/12/16
Radical Islamic Extremism	393	06/13/16
Radical Islamic Extremism	199	06/14/16
Radical Islamic Extremism	264	06/15/16
Radical Islamic Extremism	228	06/16/16
Radical Islamic Extremism	126	06/17/16
Radical Islamic Extremism	132	06/18/16
Radical Islamic Extremism	345	06/19/16
Radical Islamic Extremism	91	06/20/16
Radical Islamic Extremism	122	06/21/16
Radical Islamic Extremism	46	06/22/16
Radical Islamic Extremism	61	06/23/16
Radical Islamic Extremism	19	06/24/16
Radical Islamic Extremism	14	06/25/16
Radical Islamic Extremism	22	06/26/16
Radical Islamic Extremism	31	06/27/16
Radical Islamic Extremism	24	06/28/16
Radical Islamic Extremism	31	06/29/16
Race & Ethnicity	73	06/12/16
Race & Ethnicity	41	06/13/16
Race & Ethnicity	23	06/14/16
Race & Ethnicity	42	06/15/16
Race & Ethnicity	28	06/16/16
Race & Ethnicity	15	06/17/16
Race & Ethnicity	11	06/18/16
Race & Ethnicity	11	06/19/16
Race & Ethnicity	8	06/20/16
Race & Ethnicity	7	06/21/16
Race & Ethnicity	8	06/22/16
Race & Ethnicity	3	06/23/16
Race & Ethnicity	2	06/24/16
Race & Ethnicity	1	06/25/16
Race & Ethnicity	2	06/26/16
Race & Ethnicity	4	06/27/16
Race & Ethnicity	14	06/28/16
Race & Ethnicity	28	06/29/16
Racism	31	06/12/16
Racism	11	06/13/16
Racism	6	06/14/16
Racism	9	06/15/16
Racism	8	06/16/16
Racism	3	06/17/16
Racism	4	06/18/16
Racism	2	06/19/16
Racism	0	06/20/16
Racism	0	06/21/16
Racism	2	06/22/16
Racism	3	06/23/16
Racism	1	06/24/16
Racism	1	06/25/16
Racism	0	06/26/16
Racism	1	06/27/16
Racism	0	06/28/16
Racism	1	06/29/16
Christianity	111	06/12/16
Christianity	49	06/13/16
Christianity	21	06/14/16
Christianity	17	06/15/16
Christianity	17	06/16/16
Christianity	25	06/17/16
Christianity	9	06/18/16
Christianity	7	06/19/16
Christianity	8	06/20/16
Christianity	2	06/21/16
Christianity	4	06/22/16
Christianity	5	06/23/16
Christianity	1	06/24/16
Christianity	1	06/25/16
Christianity	3	06/26/16
Christianity	1	06/27/16
Christianity	3	06/28/16
Christianity	2	06/29/16
Weapons	845	06/12/16
Weapons	462	06/13/16
Weapons	290	06/14/16
Weapons	479	06/15/16
Weapons	554	06/16/16
Weapons	355	06/17/16
Weapons	193	06/18/16
Weapons	103	06/19/16
Weapons	289	06/20/16
Weapons	330	06/21/16
Weapons	160	06/22/16
Weapons	123	06/23/16
Weapons	83	06/24/16
Weapons	21	06/25/16
Weapons	20	06/26/16
Weapons	18	06/27/16
Weapons	42	06/28/16
Weapons	45	06/29/16
Terrorism	1340	06/12/16
Terrorism	770	06/13/16
Terrorism	379	06/14/16
Terrorism	481	06/15/16
Terrorism	392	06/16/16
Terrorism	329	06/17/16
Terrorism	183	06/18/16
Terrorism	123	06/19/16
Terrorism	133	06/20/16
Terrorism	174	06/21/16
Terrorism	184	06/22/16
Terrorism	153	06/23/16
Terrorism	46	06/24/16
Terrorism	36	06/25/16
Terrorism	37	06/26/16
Terrorism	26	06/27/16
Terrorism	138	06/28/16
Terrorism	176	06/29/16
Gun Deaths	82	06/12/16
Gun Deaths	48	06/13/16
Gun Deaths	56	06/14/16
Gun Deaths	39	06/15/16
Gun Deaths	72	06/16/16
Gun Deaths	21	06/17/16
Gun Deaths	17	06/18/16
Gun Deaths	7	06/19/16
Gun Deaths	17	06/20/16
Gun Deaths	50	06/21/16
Gun Deaths	6	06/22/16
Gun Deaths	22	06/23/16
Gun Deaths	5	06/24/16
Gun Deaths	1	06/25/16
Gun Deaths	2	06/26/16
Gun Deaths	2	06/27/16
Gun Deaths	3	06/28/16
Gun Deaths	16	06/29/16
Gun Control	858	06/12/16
Gun Control	308	06/13/16
Gun Control	195	06/14/16
Gun Control	424	06/15/16
Gun Control	420	06/16/16
Gun Control	290	06/17/16
Gun Control	142	06/18/16
Gun Control	84	06/19/16
Gun Control	152	06/20/16
Gun Control	228	06/21/16
Gun Control	117	06/22/16
Gun Control	120	06/23/16
Gun Control	40	06/24/16
Gun Control	18	06/25/16
Gun Control	11	06/26/16
Gun Control	23	06/27/16
Gun Control	14	06/28/16
Gun Control	33	06/29/16
Gun Rights	160	06/12/16
Gun Rights	97	06/13/16
Gun Rights	56	06/14/16
Gun Rights	83	06/15/16
Gun Rights	167	06/16/16
Gun Rights	177	06/17/16
Gun Rights	56	06/18/16
Gun Rights	27	06/19/16
Gun Rights	49	06/20/16
Gun Rights	127	06/21/16
Gun Rights	55	06/22/16
Gun Rights	28	06/23/16
Gun Rights	47	06/24/16
Gun Rights	14	06/25/16
Gun Rights	7	06/26/16
Gun Rights	8	06/27/16
Gun Rights	3	06/28/16
Gun Rights	0	06/29/16
Thoughts & Prayers	181	06/12/16
Thoughts & Prayers	42	06/13/16
Thoughts & Prayers	18	06/14/16
Thoughts & Prayers	59	06/15/16
Thoughts & Prayers	27	06/16/16
Thoughts & Prayers	14	06/17/16
Thoughts & Prayers	5	06/18/16
Thoughts & Prayers	3	06/19/16
Thoughts & Prayers	14	06/20/16
Thoughts & Prayers	11	06/21/16
Thoughts & Prayers	3	06/22/16
Thoughts & Prayers	5	06/23/16
Thoughts & Prayers	2	06/24/16
Thoughts & Prayers	1	06/25/16
Thoughts & Prayers	0	06/26/16
Thoughts & Prayers	1	06/27/16
Thoughts & Prayers	4	06/28/16
Thoughts & Prayers	2	06/29/16
Slang Terms	60	06/12/16
Slang Terms	37	06/13/16
Slang Terms	17	06/14/16
Slang Terms	17	06/15/16
Slang Terms	16	06/16/16
Slang Terms	20	06/17/16
Slang Terms	12	06/18/16
Slang Terms	6	06/19/16
Slang Terms	12	06/20/16
Slang Terms	9	06/21/16
Slang Terms	3	06/22/16
Slang Terms	6	06/23/16
Slang Terms	0	06/24/16
Slang Terms	0	06/25/16
Slang Terms	0	06/26/16
Slang Terms	2	06/27/16
Slang Terms	0	06/28/16
Slang Terms	0	06/29/16
Buying	85	06/12/16
Buying	40	06/13/16
Buying	27	06/14/16
Buying	33	06/15/16
Buying	60	06/16/16
Buying	15	06/17/16
Buying	6	06/18/16
Buying	6	06/19/16
Buying	2	06/20/16
Buying	16	06/21/16
Buying	4	06/22/16
Buying	3	06/23/16
Buying	1	06/24/16
Buying	0	06/25/16
Buying	0	06/26/16
Buying	1	06/27/16
Buying	1	06/28/16
Buying	0	06/29/16
Civil Rights	2	06/12/16
Civil Rights	0	06/13/16
Civil Rights	1	06/14/16
Civil Rights	1	06/15/16
Civil Rights	2	06/16/16
Civil Rights	0	06/17/16
Civil Rights	0	06/18/16
Civil Rights	1	06/19/16
Civil Rights	1	06/20/16
Civil Rights	28	06/21/16
Civil Rights	29	06/22/16
Civil Rights	21	06/23/16
Civil Rights	3	06/24/16
Civil Rights	2	06/25/16
Civil Rights	2	06/26/16
Civil Rights	3	06/27/16
Civil Rights	1	06/28/16
Civil Rights	2	06/29/16
Institutions	170	06/12/16
Institutions	73	06/13/16
Institutions	50	06/14/16
Institutions	88	06/15/16
Institutions	91	06/16/16
Institutions	39	06/17/16
Institutions	18	06/18/16
Institutions	311	06/19/16
Institutions	78	06/20/16
Institutions	63	06/21/16
Institutions	22	06/22/16
Institutions	33	06/23/16
Institutions	16	06/24/16
Institutions	10	06/25/16
Institutions	20	06/26/16
Institutions	43	06/27/16
Institutions	11	06/28/16
Institutions	20	06/29/16
Homo/transphobia	81	06/12/16
Homo/transphobia	38	06/13/16
Homo/transphobia	34	06/14/16
Homo/transphobia	30	06/15/16
Homo/transphobia	16	06/16/16
Homo/transphobia	7	06/17/16
Homo/transphobia	14	06/18/16
Homo/transphobia	17	06/19/16
Homo/transphobia	5	06/20/16
Homo/transphobia	7	06/21/16
Homo/transphobia	4	06/22/16
Homo/transphobia	3	06/23/16
Homo/transphobia	1	06/24/16
Homo/transphobia	2	06/25/16
Homo/transphobia	3	06/26/16
Homo/transphobia	0	06/27/16
Homo/transphobia	19	06/28/16
Homo/transphobia	4	06/29/16
Hate Crime	50	06/12/16
Hate Crime	32	06/13/16
Hate Crime	16	06/14/16
Hate Crime	16	06/15/16
Hate Crime	10	06/16/16
Hate Crime	2	06/17/16
Hate Crime	1	06/18/16
Hate Crime	1	06/19/16
Hate Crime	1	06/20/16
Hate Crime	3	06/21/16
Hate Crime	0	06/22/16
Hate Crime	5	06/23/16
Hate Crime	0	06/24/16
Hate Crime	1	06/25/16
Hate Crime	0	06/26/16
Hate Crime	2	06/27/16
Hate Crime	2	06/28/16
Hate Crime	1	06/29/16
LGBTQ	933	06/12/16
LGBTQ	523	06/13/16
LGBTQ	373	06/14/16
LGBTQ	726	06/15/16
LGBTQ	386	06/16/16
LGBTQ	279	06/17/16
LGBTQ	223	06/18/16
LGBTQ	232	06/19/16
LGBTQ	138	06/20/16
LGBTQ	143	06/21/16
LGBTQ	129	06/22/16
LGBTQ	94	06/23/16
LGBTQ	53	06/24/16
LGBTQ	21	06/25/16
LGBTQ	47	06/26/16
LGBTQ	45	06/27/16
LGBTQ	61	06/28/16
LGBTQ	28	06/29/16
Islamophobia	28	06/12/16
Islamophobia	10	06/13/16
Islamophobia	5	06/14/16
Islamophobia	3	06/15/16
Islamophobia	0	06/16/16
Islamophobia	0	06/17/16
Islamophobia	0	06/18/16
Islamophobia	3	06/19/16
Islamophobia	0	06/20/16
Islamophobia	3	06/21/16
Islamophobia	1	06/22/16
Islamophobia	1	06/23/16
Islamophobia	2	06/24/16
Islamophobia	0	06/25/16
Islamophobia	1	06/26/16
Islamophobia	0	06/27/16
Islamophobia	0	06/28/16
Islamophobia	0	06/29/16
Islam	1044	06/12/16
Islam	629	06/13/16
Islam	319	06/14/16
Islam	361	06/15/16
Islam	494	06/16/16
Islam	167	06/17/16
Islam	166	06/18/16
Islam	101	06/19/16
Islam	211	06/20/16
Islam	160	06/21/16
Islam	82	06/22/16
Islam	77	06/23/16
Islam	29	06/24/16
Islam	13	06/25/16
Islam	25	06/26/16
Islam	33	06/27/16
Islam	24	06/28/16
Islam	31	06/29/16
